Something 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
420	0.00145351	0.00145351	0.00205557	13.7972	0	1
421	0.00143897	0.00143897	0.00203501	13.7992	0	1
422	0.00142458	0.00142458	0.00201466	13.8013	0	1
423	0.00141034	0.00141034	0.00199452	13.8033	0	1
424	0.00139623	0.00139623	0.00197457	13.8052	0	1
425	0.00138227	0.00138227	0.00195483	13.8072	0	1
426	0.00136845	0.00136845	0.00193528	13.8091	0	1
427	0.00135476	0.00135476	0.00191592	13.811	0	1
428	0.00134122	0.00134122	0.00189676	13.8129	0	1
429	0.0013278	0.0013278	0.0018778	13.8148	0	1
430	0.00131453	0.00131453	0.00185902	13.8167	0	1
431	0.00130138	0.00130138	0.00184043	13.8185	0	1
432	0.00128837	0.00128837	0.00182202	13.8203	0	1
433	0.00127548	0.00127548	0.0018038	13.8221	0	1
434	0.00126273	0.00126273	0.00178577	13.8239	0	1
435	0.0012501	0.0012501	0.00176791	13.8257	0	1
436	0.0012376	0.0012376	0.00175023	13.8274	0	1
437	0.00122522	0.00122522	0.00173273	13.8292	0	1
438	0.00121297	0.00121297	0.0017154	13.8309	0	1
439	0.00120084	0.00120084	0.00169825	13.8326	0	1
440	0.00118883	0.00118883	0.00168126	13.8343	0	1
441	0.00117694	0.00117694	0.00166445	13.8359	0	1
442	0.00116518	0.00116518	0.00164781	13.8376	0	1
443	0.00115352	0.00115352	0.00163133	13.8392	0	1
444	0.00114199	0.00114199	0.00161502	13.8408	0	1
445	0.00113057	0.00113057	0.00159886	13.8424	0	1
446	0.00111926	0.00111926	0.00158288	13.844	0	1
447	0.00110807	0.00110807	0.00156705	13.8456	0	1
448	0.00109699	0.00109699	0.00155138	13.8471	0	1
449	0.00108602	0.00108602	0.00153586	13.8487	0	1
450	0.00107516	0.00107516	0.0015205	13.8502	0	1
451	0.00106441	0.00106441	0.0015053	13.8517	0	1
452	0.00105376	0.00105376	0.00149025	13.8532	0	1
453	0.00104323	0.00104323	0.00147534	13.8547	0	1
454	0.00103279	0.00103279	0.00146059	13.8561	0	1
455	0.00102247	0.00102247	0.00144598	13.8576	0	1
456	0.00101224	0.00101224	0.00143152	13.859	0	1
457	0.00100212	0.00100212	0.00141721	13.8604	0	1
458	0.000992097	0.000992097	0.00140304	13.8618	0	1
459	0.000982176	0.000982176	0.00138901	13.8632	0	1
460	0.000972355	0.000972355	0.00137512	13.8646	0	1
461	0.000962631	0.000962631	0.00136137	13.8659	0	1
462	0.000953005	0.000953005	0.00134775	13.8673	0	1
463	0.000943475	0.000943475	0.00133427	13.8686	0	1
464	0.00093404	0.00093404	0.00132093	13.8699	0	1
465	0.0009247	0.0009247	0.00130772	13.8712	0	1
466	0.000915453	0.000915453	0.00129465	13.8725	0	1
467	0.000906298	0.000906298	0.0012817	13.8738	0	1
468	0.000897235	0.000897235	0.00126888	13.8751	0	1
469	0.000888263	0.000888263	0.00125619	13.8764	0	1
470	0.00087938	0.00087938	0.00124363	13.8776	0	1
471	0.000870586	0.000870586	0.0012312	13.8788	0	1
472	0.00086188	0.00086188	0.00121888	13.88	0	1
473	0.000853262	0.000853262	0.00120669	13.8813	0	1
474	0.000844729	0.000844729	0.00119463	13.8824	0	1
475	0.000836282	0.000836282	0.00118268	13.8836	0	1
476	0.000827919	0.000827919	0.00117085	13.8848	0	1
477	0.00081964	0.00081964	0.00115915	13.886	0	1
478	0.000811443	0.000811443	0.00114755	13.8871	0	1
479	0.000803329	0.000803329	0.00113608	13.8882	0	1
